nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
679.4891128540039,665.9102935791016,677.1832733154297,655.918327331543,671.8029861450195,640.0336532592773,670.5219650268555,623.8927879333496,,,,623.6365852355957,645.4139404296875,,,,,754.0542297363281,743.8022384643555,748.9282302856445,745.5963363647461,751.2349319458008,764.8188095092773,781.2219772338867,790.1924667358398,,,,835.8137817382812,838.8893890380859,,,,
661.4883499145508,667.8188247680664,661.4883499145508,655.6100616455078,674.149284362793,669.1753387451172,638.2012939453125,623.7316627502441,622.3751373291016,,,623.7316627502441,625.9925384521484,,,,,746.2291641235352,742.609920501709,741.9313125610352,745.0981483459473,750.0746078491211,777.6713333129883,763.6467590332031,790.7910842895508,789.6600723266602,,,838.2936401367188,837.6150360107422,,,,
643.2530670166016,647.3123626708984,660.1312103271484,639.1937637329102,655.2173233032227,622.3156280517578,653.0808486938477,610.9923133850098,,,,605.6511268615723,624.0248031616211,,,,,749.0033264160156,746.2246894836426,749.6445465087891,747.0796508789062,753.2781448364258,765.8888702392578,781.7057189941406,792.3927764892578,,,,834.9272613525391,839.4158325195312,,,,
644.9426651000977,643.7007141113281,641.9619903564453,623.5811614990234,636.2490234375,610.6649017333984,635.2554702758789,599.7357559204102,,660.0944213867188,,589.8001708984375,610.9132843017578,,623.3327713012695,,,761.0999145507812,754.1317825317383,754.8783645629883,750.1499862670898,755.6249465942383,767.3214645385742,782.9997787475586,792.7053909301758,,812.6143646240234,,839.2425994873047,841.9800872802734,,870.5991973876953,,
628.7030029296875,627.2547073364258,625.5650329589844,606.25439453125,619.0476913452148,592.4955749511719,614.7027969360352,,622.185661315918,647.2894897460938,646.3239440917969,573.4263381958008,593.2197341918945,,603.5991897583008,,,765.2851409912109,760.9445648193359,760.7034225463867,756.1217041015625,760.9445648193359,773.0017166137695,787.7114562988281,,806.2794723510742,813.9960479736328,816.889762878418,843.8977966308594,849.444091796875,,893.8144226074219,,
613.5548858642578,611.522331237793,608.5864181518555,589.8417129516602,604.2954559326172,579.4530868530273,594.810188293457,,595.0360260009766,,625.0727081298828,558.2241477966309,572.9037322998047,,586.9057998657227,,,771.8736801147461,768.9334487915039,768.9334487915039,766.8979034423828,769.6119613647461,779.7897033691406,791.7768096923828,,826.1549377441406,,826.8334503173828,848.5459594726562,854.4264221191406,,886.7689971923828,,
589.936767578125,590.4358673095703,586.6926956176758,574.2154693603516,576.2118225097656,565.73095703125,576.4613723754883,,570.9713897705078,,598.1717376708984,543.0224075317383,557.2464447021484,,570.9713897705078,,,782.9833984375,777.2360076904297,777.2360076904297,774.7371444702148,775.4868087768555,792.2292022705078,801.2251129150391,,837.2087707519531,,838.7080688476562,851.4522857666016,860.1983032226562,,894.6826477050781,,
590.1101608276367,589.8607025146484,588.3639450073242,573.6458358764648,589.6112442016602,566.411506652832,576.1404266357422,,571.151237487793,,598.5917816162109,542.2139358520508,556.1836700439453,,571.6501617431641,,,782.9376068115234,776.9464416503906,779.1931304931641,774.9493865966797,778.6938705444336,792.6732559204102,800.6614837646484,,837.1077423095703,,839.3544311523438,852.5849304199219,860.0738830566406,,895.0223388671875,,
577.9114761352539,577.197380065918,574.5790176391602,573.8649215698242,570.0563888549805,566.2478713989258,554.1082000732422,,549.347541809082,,581.0058975219727,,541.9685211181641,,561.9632797241211,,,789.117057800293,784.8239974975586,785.0625,787.9245376586914,787.4475326538086,807.0048141479492,806.5278015136719,,843.7343292236328,,845.1653594970703,,863.5301055908203,,894.5355529785156,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
