nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
675.0658705575123,667.8007165817988,675.2154688153948,659.7814258393786,675.82088797433,654.245627085368,663.2762492951892,627.515120188395,618.2355052403041,661.3139386858256,,627.856665020897,642.3751920064288,,622.5202831086656,,,750.7944819132487,742.3018971397764,746.1726760864258,745.5346615200946,750.7357704525901,770.2718870980398,775.5106927780879,790.0847714742022,790.339655558268,812.4827757335847,,836.1069946289058,838.0966865902857,,868.994828360421,,
664.4149807521272,661.9274373735702,666.7899796622141,649.9153159005303,666.8998538425989,642.2793519156322,655.2435651506697,617.6313601902551,626.0332995823452,660.0944213867186,649.7633874075755,617.1476593017576,632.9224373953682,,625.6633284432547,,,750.4785254342216,744.2926474979948,746.7517275129046,745.0926971435545,750.9296553475518,767.7043882097515,775.5928557259696,791.1939844403947,787.4508367265973,812.6143646240236,815.3313124520437,836.2825687953401,838.3114678519113,,870.5371813092912,,
652.6091036115372,653.2738424028672,655.8512322562084,638.1444407871795,654.9379365103584,628.9256918770928,644.6047826494491,609.8193975176127,627.7251341683525,658.2651454380581,651.6848852975029,604.9353651319229,621.5152822222028,,623.982417515346,,,752.494070870536,747.8823582785474,749.241822378976,746.8284326280866,752.7530828203478,767.5007569449288,777.3889427185059,792.0263693673271,789.0354772295271,812.811747959682,814.4831254141671,837.4792088099888,839.9771619524275,,873.2883813040597,,
639.6482391357428,641.83993166969,642.3992265973778,624.4688004993263,639.9351359776094,614.1846469697504,631.3599017915278,604.0792321704689,623.3110089983265,655.8261108398444,647.8739776611335,591.2197825113938,608.1537264869332,,617.4775503249401,,,756.8411182221919,753.0710294814344,753.6429606846408,750.7418679736916,756.2060528709783,769.6609933035722,780.8989537556973,792.5819262549999,795.093577067058,813.0749257405606,816.2323557535815,839.6969146728522,843.0937688918349,,877.2484283447275,,
626.108514694941,624.7622313726522,624.9053718930205,605.0492339361288,616.3508140927274,589.5782390776141,616.3455596197225,599.0585110982265,612.0358781360451,651.5578002929694,637.9191959926065,572.2028421674461,592.1381697881795,,603.7891605922159,,,766.3078184581946,761.7272718520398,762.1994102114729,758.1187896728522,762.2281574067622,772.7306696573901,789.6578921363475,792.8430466424859,807.9008222307486,813.5354868570971,820.7082250685926,843.3998776390447,848.9529651460201,,884.0720280238568,,
612.835819789342,611.355453854516,607.3908880324595,589.3940378824875,601.3646977742519,579.030144101098,596.6888536725731,598.663702828544,598.1584883190342,647.8992483956479,624.8843114943737,557.4558906555181,575.3536863781162,,589.0533701578781,,,773.7427996680858,768.7026131039581,768.712910243444,764.7013408115939,767.9703365507587,780.1957252139143,792.8844680786141,792.7351637340735,821.7870792207273,813.9302535284141,826.9544514247357,848.2085912795301,854.2433028448204,,890.7124052501869,,
596.4610860915417,595.8528260730567,593.1381516229544,578.3761600312738,588.1725892566506,569.4147168114077,580.4113784063436,599.7357559204107,579.289407639277,646.0699724469872,607.4532830374587,546.9846649169926,560.7166991460897,,574.9633716401605,,,779.6440077282141,775.0155011131658,775.5632175263911,772.8682585216711,775.1082850864962,789.130914597285,798.4222935267865,792.7053909301766,834.4423846290233,814.1276368640725,834.7685187203551,851.0830695742661,858.8710552397238,,894.6812845865894,,
585.6681293305902,585.3371124267584,582.637433369955,573.0897365751725,578.5588262648814,565.5414047241215,567.882552010673,,562.383645193918,647.2894897460944,591.8468769618448,541.7594911484496,550.6102730887281,,567.363878522601,,,785.111133393788,780.0343017578132,780.8856648036419,779.8566970825202,781.0884490240196,797.3565419514982,802.7420567103802,,840.7168092273538,813.9960479736336,841.4575129917697,852.5116678873705,861.467086791993,,893.6990131196529,,
584.6259823753726,584.275511968704,581.9157812935971,578.7137814476382,577.7604486374634,564.9631398518885,564.3122896466941,,559.8847787039626,,589.1457475934715,540.8046497163323,545.2663421630864,,565.2804420107892,,,787.5347340901701,782.3746308826271,783.1755334763308,783.9805163428904,784.2855773199179,803.391196841286,803.8702087402351,,840.5890183221734,,841.4936392647887,852.8077879406165,862.9336591448111,,895.4353201729919,,
577.4361968267538,576.8301282610219,574.2007388160348,571.949714660645,571.6946109590082,575.803448268346,553.9329543340779,,548.7923097156348,,583.6381080264142,552.2304378691178,551.3923165457594,,561.670161292667,,478.53525543212936,789.0697955176951,784.8243150256935,785.3951455979128,787.690237862724,787.5552698771166,806.6741024198993,807.4812582106824,,844.7720365978431,,845.469272431874,852.6068783714666,863.4304286411839,,893.3902907598595,,882.5541839599618
