nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
,,,,,,1057.5927734375,638.2357788085938,1073.81494140625,640.8681640625,1056.39990234375,660.491455078125,1061.171142578125,664.7990112304688,,,,,,,,,1048.7659912109375,731.0874633789062,1040.416259765625,731.3267822265625,1052.3443603515625,773.684326171875,1042.086181640625,777.27392578125,1052.1058349609375,807.4268188476562,1029.4425048828125,832.79345703125
,,,,1071.9140625,635.3204345703125,1054.388427734375,638.731201171875,1071.670654296875,638.731201171875,1054.6319580078125,661.1451416015625,1054.6319580078125,666.7486572265625,1040.7574462890625,699.8822021484375,1043.6783447265625,699.3949584960938,,,1045.869140625,732.0413208007812,1045.869140625,729.6050415039062,1043.1915283203125,730.8231811523438,1056.3358154296875,774.676513671875,1042.9481201171875,779.0618286132812,1065.342041015625,816.5807495117188,1031.751220703125,830.4676513671875
,,1049.4969482421875,636.2733764648438,1069.3505859375,635.7831420898438,1051.212646484375,639.4596557617188,1067.634765625,638.9694213867188,1049.9871826171875,667.1556396484375,1067.14453125,663.4791870117188,1038.9573974609375,701.9595336914062,1039.2025146484375,699.263427734375,1030.133544921875,729.1653442382812,1029.888427734375,735.2927856445312,1047.291015625,729.4104614257812,1048.0263671875,729.655517578125,1059.05615234375,769.6064453125,1045.0850830078125,775.48876953125,1066.1641845703125,814.7044067382812,,
,,,,1069.5621337890625,636.0053100585938,1050.7545166015625,638.4494018554688,1067.608154296875,638.2050170898438,1049.0447998046875,668.5115966796875,1067.852294921875,663.6234130859375,1039.518798828125,700.529052734375,1039.518798828125,700.0402221679688,1030.2371826171875,724.236572265625,1029.992919921875,735.2349243164062,1047.5792236328125,730.3468017578125,1058.81494140625,727.4138793945312,1058.5706787109375,769.9408569335938,1046.1136474609375,773.6069946289062,1066.8753662109375,815.4007568359375,1029.015869140625,834.2201538085938
1064.0938720703125,637.9859619140625,1043.6571044921875,639.5025634765625,1061.57080078125,634.7000732421875,1043.909423828125,640.008056640625,1061.8231201171875,638.23876953125,1047.189453125,666.5482788085938,1067.373779296875,664.2734375,1034.069580078125,698.6492919921875,1032.8079833984375,699.6602783203125,1019.18359375,731.0029907226562,1018.9312744140625,731.2557373046875,1039.11572265625,730.750244140625,1056.0201416015625,730.750244140625,1062.580078125,770.6868896484375,1063.0845947265625,767.906494140625,1067.87841796875,815.4260864257812,1067.87841796875,815.1732788085938
,,1040.67138671875,639.0250244140625,1059.851318359375,636.98046875,1042.205810546875,642.0919189453125,1059.595703125,638.2583618164062,1045.0189208984375,668.1604614257812,1067.267578125,661.5155029296875,1030.6978759765625,697.0402221679688,1030.442138671875,697.0402221679688,1015.6096801757812,727.7090454101562,1014.8424682617188,728.7313232421875,1040.92724609375,732.56494140625,1052.4351806640625,732.3093872070312,1065.989013671875,771.667724609375,1053.7138671875,785.7242431640625,1068.5462646484375,818.6932373046875,1028.90771484375,833.00537109375
,,,,,,1039.954345703125,645.0433349609375,1056.2864990234375,640.9639892578125,1043.2718505859375,670.7943115234375,1066.7491455078125,658.5562133789062,1028.2156982421875,698.330078125,,,1011.8836669921875,726.6306762695312,1011.8836669921875,726.8856201171875,1040.2095947265625,731.219970703125,1056.2864990234375,730.7100219726562,1055.010498046875,782.4669799804688,1070.066650390625,765.3846435546875,1068.5355224609375,815.8667602539062,1068.5355224609375,816.1217041015625
,,1037.15234375,647.5504760742188,1056.622802734375,642.2783203125,1037.941650390625,647.8140869140625,1056.0966796875,643.8599853515625,1042.94091796875,673.6475830078125,1064.7794189453125,670.4842529296875,1021.8916625976562,703.1715087890625,,,1007.6834716796875,730.3230590820312,,,1039.783447265625,733.486328125,1056.3597412109375,733.7499389648438,1059.51708984375,773.5546264648438,1074.2515869140625,764.0647583007812,1069.2523193359375,817.3133544921875,1069.5155029296875,817.0498046875
1056.2481689453125,637.2251586914062,1054.3350830078125,636.677978515625,1053.51513671875,637.498779296875,1037.1173095703125,651.4519653320312,1052.6953125,645.1593017578125,,,1042.03662109375,678.8112182617188,,,1083.5780029296875,634.4892578125,1004.8681030273438,734.3504638671875,1006.7811889648438,731.0673828125,1061.4407958984375,734.3504638671875,1054.061767578125,735.44482421875,1063.9005126953125,779.2196044921875,1077.5654296875,766.907958984375,1030.2847900390625,833.66455078125,1069.366455078125,820.8056640625
1053.8839111328125,639.9642333984375,1052.2342529296875,639.1398315429688,1050.859619140625,639.9642333984375,1038.212890625,654.5284423828125,1050.309814453125,647.3837280273438,,,1042.0618896484375,680.6341552734375,1019.517578125,706.1902465820312,1079.177490234375,631.7203369140625,1006.5958251953125,733.1203002929688,,,1064.0562744140625,733.9447021484375,1048.66015625,738.8910522460938,1081.10205078125,768.8438720703125,1079.727294921875,768.0194702148438,1070.6546630859375,817.48291015625,1035.4635009765625,827.9251708984375
