nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
,,,,1362.599853515625,752.3738403320312,1346.8647,747.35004,1360.5911,752.03894,1337.8256,755.3881,1356.2389,772.46906,1330.7950439453125,775.1483764648438,1375.656494140625,797.5880126953125,,,1400.4307861328125,799.5975341796875,1314.7252,811.65466,1333.8081,820.02765,1293.2988,843.47205,1347.1995849609375,842.13232421875,1269.5289306640625,869.9307250976562,1325.4384765625,875.2894287109375
1371.4130859375,751.5497436523438,1367.81884765625,741.3966064453125,1370.1060791015625,750.2396240234375,1354.422,744.9993,1369.1257,749.5846,1345.9265,752.2048,1362.264,769.2358,1335.7972412109375,774.8036499023438,1377.2945556640625,795.4373779296875,,,1399.84033203125,800.3502197265625,1321.7471,803.62537,1339.7183,812.46844,1303.1223,837.0324,1351.8079833984375,838.342529296875,1276.001953125,866.1817016601562,1326.6483154296875,873.7146606445312
,,,,,,1360.4229,742.1603,1373.0272,747.3356,1352.9895,747.98254,1368.8258,768.3603,,,1384.015625,796.177490234375,,,1409.2244873046875,801.9996948242188,1328.4271,801.9997,1345.8794,811.0565,1310.9749,833.6984,1351.37353515625,842.7551879882812,1284.150146484375,862.4860229492188,1326.8111572265625,871.8662719726562
,,,,,,1365.9978,742.7556,1380.1051,746.61053,1357.3411,751.1079,1375.6165,768.1337,,,1387.800048828125,794.4755859375,,,1409.9228515625,802.1853637695312,1335.5388,802.18536,1352.8523,810.8589,1319.5078,828.5272,1353.1729736328125,847.1592407226562,1292.2550048828125,859.045166015625,1327.8438720703125,871.2523803710938
,,,,,,1380.247,738.3894,1395.1089,741.1787,1370.6486,746.75726,1388.6068,763.80286,1357.3345947265625,735.60009765625,1400.68212890625,789.8362426757812,1357.953857421875,734.6703491210938,1425.4522705078125,799.753662109375,1349.9036,795.72473,1363.5271,805.3323,1337.8282,822.37787,1358.5731201171875,849.031005859375,1313.0582275390625,848.4111938476562,1328.5394287109375,872.2750854492188
,,,,,,1386.4393,736.5374,1399.9308,738.93634,1376.5457,743.4343,1397.8322,764.425,1363.05419921875,738.636474609375,1414.0218505859375,788.114501953125,1357.05810546875,731.439697265625,1439.505615234375,795.311279296875,1355.8588,795.61115,1370.8492,805.20685,1350.7621,818.10114,1363.35400390625,843.2899169921875,1330.974609375,842.0904541015625,1337.5704345703125,866.379638671875
,,,,,,1390.8247,733.3614,1404.5586,736.7945,1380.5243,741.6581,1404.2725,759.39575,1366.504150390625,739.9415283203125,1422.0120849609375,781.9970092773438,1360.78173828125,735.0779418945312,1425.731689453125,783.141357421875,1366.218,793.4407,1381.6687,802.02344,1358.4928,843.5067,1364.2152099609375,846.3676147460938,,,1335.3167724609375,869.2550048828125
,,,,,,1394.3425,731.97235,1409.792,734.5469,1384.9011,741.9844,1412.9391,757.1454,1368.021240234375,741.4122314453125,1429.246826171875,770.8761596679688,1364.0157470703125,731.9723510742188,1445.8406982421875,773.7367553710938,1374.0293,794.0468,1390.9093,798.6237,1376.8904,811.21027,1385.187255859375,819.5059204101562,1370.02392578125,837.8135986328125,1379.4652099609375,839.8159790039062
1411.21826171875,728.213134765625,1415.1845703125,727.0781860351562,1409.2352294921875,727.0781860351562,1407.2521,730.7668,1422.267,732.18555,1398.1865,745.5214,1431.8992,750.0613,1382.0384521484375,743.25146484375,1450.0303955078125,755.1686401367188,1385.15478515625,727.0781860351562,1460.7957763671875,740.1303100585938,1393.0872,794.6088,1411.5016,798.01373,1411.2183,813.9033,1389.404296875,829.5090942382812,1418.867431640625,829.7928466796875,1420.0006103515625,831.4953002929688
1418.15625,728.5189819335938,1421.7413330078125,727.4154663085938,1416.225830078125,727.6913452148438,1414.8469,733.20905,1429.4631,731.27783,1407.1251,746.4515,1439.9427,748.93445,1394.1634521484375,743.140869140625,1446.28564453125,746.1755981445312,1397.7486572265625,725.2083740234375,1447.66455078125,737.8991088867188,1403.8157,795.55896,1420.9141,796.6625,1422.8445,817.62976,1398.8516845703125,833.9069213867188,1431.1177978515625,837.493408203125,1433.0482177734375,840.5281372070312
