nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
883.8074,257.6222,885.20306,255.02446,882.6111,254.62482,888.39325,255.22429,880.4178466796875,255.2242889404297,892.580322265625,260.6195983886719,877.2276611328125,262.01837158203125,897.7643432617188,270.4111022949219,873.838134765625,274.4076232910156,897.9637451171875,282.00103759765625,876.8289184570312,270.6109313964844,891.58344,276.40588,882.2123,279.00363,888.7919921875,293.790771484375,883.209228515625,293.790771484375,891.5834350585938,314.5727233886719,891.982177734375,313.5735778808594
884.5701,255.42065,885.7797,252.79346,883.3606,252.79346,887.79565,252.79346,881.14306640625,252.79345703125,891.8275756835938,259.6645812988281,,,895.4562377929688,271.3858947753906,,,896.06103515625,280.68212890625,,,882.7558,284.92606,892.2307,286.74487,885.7797241210938,303.92266845703125,891.0211791992188,303.7205810546875,886.384521484375,318.069091796875,891.4243774414062,314.633544921875
884.316,255.94333,885.7248,253.51845,882.90717,253.51845,887.9386,253.51845,880.4921264648438,253.31637573242188,890.9573974609375,259.3785705566406,876.0645141601562,258.1661376953125,894.78125,270.08843994140625,,,894.9825439453125,281.20245361328125,874.253173828125,268.269775390625,886.12726,278.37344,877.47327,277.9693,886.9323120117188,295.1455078125,877.674560546875,294.1351318359375,887.133544921875,309.8968505859375,,
883.18,256.238,884.9744,253.8406,881.9837,253.64081,887.16754,254.04037,879.1924438476562,253.64080810546875,890.7564086914062,260.63323974609375,874.0086059570312,259.03497314453125,894.5445556640625,271.22174072265625,861.44775390625,259.2347412109375,893.3483276367188,283.00897216796875,849.6844482421875,264.2293395996094,887.36694,279.81244,878.19556,279.61264,881.7843627929688,294.9959716796875,877.3980102539062,294.9959716796875,888.3638305664062,317.9710693359375,883.7781372070312,316.7723388671875
880.8916,256.81204,882.5951,254.91249,879.7559,254.72253,885.43427,256.43213,877.6738891601562,254.91249084472656,889.78759765625,264.9801025390625,871.9955444335938,260.9910583496094,892.0589599609375,276.37744140625,863.6673583984375,265.1700744628906,890.5447387695312,287.39483642578125,857.23193359375,269.3490905761719,883.92004,283.21582,874.0776,282.07608,881.8379516601562,297.6524353027344,872.5633544921875,297.46246337890625,885.0556640625,317.40777587890625,870.2920532226562,316.26806640625
881.26025,255.92833,882.7189,254.10425,879.98395,254.10425,884.7244,255.3811,877.4313354492188,254.104248046875,888.5533447265625,265.0487365722656,870.5029296875,262.3126220703125,891.1058959960938,275.0811767578125,858.651611328125,271.06817626953125,889.82958984375,281.6478576660156,859.1986083984375,279.27655029296875,883.9951,280.7358,873.96716,280.1886,883.08349609375,296.7877197265625,867.7680053710938,292.9571533203125,884.3598022460938,316.48779296875,868.8619384765625,309.3738708496094
880.13873,256.2278,881.9091,254.4542,878.89954,254.27682,883.8565,255.87311,876.2440185546875,254.63156127929688,887.751220703125,264.74127197265625,870.40185546875,261.9034729003906,890.229736328125,275.7378234863281,864.2056884765625,268.8206481933594,888.2823486328125,286.02490234375,860.3109130859375,275.5604553222656,882.4402,282.83234,872.17224,282.30026,881.7320556640625,298.7950744628906,866.8612060546875,296.6667175292969,884.2105712890625,315.99932861328125,866.330078125,313.5162353515625
880.0543,252.60397,881.7857,251.04037,878.84235,250.86665,883.69025,252.7777,876.0721435546875,252.43023681640625,887.8455810546875,263.3753662109375,869.666015625,260.943115234375,889.9232177734375,275.5365905761719,862.2210693359375,274.49420166015625,887.1530151367188,285.6130676269531,868.8003540039062,281.2697448730469,882.4783,281.61722,871.22424,280.22736,881.2662963867188,298.29547119140625,867.4152221679688,295.5157775878906,884.3828125,317.05853271484375,866.2032470703125,313.75762939453125
880.18097,250.45085,881.7284,248.38092,878.4616,248.20842,883.44775,249.4159,875.5386962890625,249.07089233398438,886.7145385742188,258.3856201171875,869.005126953125,257.00567626953125,889.4655151367188,269.080322265625,863.3311767578125,272.0127258300781,887.2303466796875,278.050048828125,870.8964233398438,278.050048828125,881.7284,279.775,869.349,279.775,883.44775390625,297.5419921875,867.801513671875,296.33453369140625,884.4793701171875,315.8264465332031,865.9102172851562,314.4465026855469
880.34174,247.90578,882.04034,246.20766,878.813,246.20766,883.39923,247.05672,875.7555541992188,246.37747192382812,886.4567260742188,256.3963928222656,869.1309814453125,254.8680877685547,889.004638671875,265.736083984375,863.8653564453125,269.3021545410156,886.4567260742188,276.26446533203125,870.82958984375,275.9248046875,880.8513,275.07574,868.79126,274.73615,884.24853515625,292.3966064453125,866.5830688476562,294.0947570800781,884.5882568359375,316.849609375,865.5639038085938,312.4344787597656
879.9686,246.10495,881.31586,244.41772,878.45306,244.41772,882.9998,245.43005,875.4219360351562,244.417724609375,886.3677368164062,254.54115295410156,868.5177001953125,253.02264404296875,888.7252807617188,264.83331298828125,862.9605712890625,268.0390625,886.3677368164062,273.7756652832031,869.6964721679688,273.7756652832031,881.48425,273.43823,868.6861,272.08844,883.3366088867188,288.6233825683594,864.9813842773438,290.9855041503906,,,863.8026123046875,309.882568359375
878.9065,245.97728,881.27655,243.25891,878.2293,243.25891,883.13873,244.27829,875.1820678710938,243.42880249023438,886.1859741210938,253.11300659179688,868.7490234375,251.58392333984375,889.2332153320312,261.77783203125,861.9774169921875,266.36505126953125,886.69384765625,271.1222229003906,868.5797119140625,272.3115234375,880.59937,270.7824,868.5797,269.42322,883.1387329101562,286.58294677734375,863.839599609375,289.1314392089844,886.1859741210938,308.66973876953125,861.80810546875,308.49981689453125
879.642,244.8899,881.19904,242.45674,878.25806,242.45674,882.75604,243.8471,874.7979736328125,242.6305389404297,886.0430908203125,252.53692626953125,868.0509643554688,251.1465606689453,888.1190795898438,264.1813049316406,860.6119384765625,265.2240905761719,885.5241088867188,271.1331481933594,867.3589477539062,271.30694580078125,879.12305,269.9166,866.66693,269.569,883.2750854492188,285.5582580566406,862.6879272460938,287.6438293457031,888.6381225585938,304.15447998046875,857.6708984375,304.15447998046875
878.46765,245.32755,880.0482,243.2147,877.23834,243.2147,882.1557,244.62326,874.2528076171875,243.21470642089844,886.1949462890625,253.07455444335938,868.1061401367188,251.48992919921875,887.9511108398438,265.575439453125,861.2569580078125,265.75152587890625,883.7362670898438,274.20281982421875,869.1598510742188,271.3857421875,879.34576,268.39255,866.7012,268.2165,884.2631225585938,286.52764892578125,861.7838134765625,288.46441650390625,,,855.6371459960938,303.078125
878.8259,245.34894,880.45636,243.53987,877.3767,243.53987,882.0868,244.98712,874.2970581054688,243.90167236328125,885.7098999023438,253.48974609375,867.2319946289062,253.1279296875,887.7025756835938,265.4295959472656,861.2538452148438,265.7914123535156,885.1664428710938,273.0277099609375,865.9638671875,272.3040771484375,878.8259,269.59045,866.5073,269.40955,884.4417724609375,286.95751953125,861.0726928710938,289.8520202636719,890.419921875,301.2491760253906,856.1814575195312,296.18377685546875
878.2378,247.88068,879.5198,246.59431,876.5895,246.59431,881.7174,247.14561,874.0255737304688,246.41055297851562,885.5633544921875,254.86373901367188,866.699951171875,255.4150390625,888.3104858398438,265.15460205078125,861.9382934570312,267.176025390625,886.2958984375,273.975341796875,864.5022583007812,274.8941650390625,878.4209,270.11627,866.69995,270.11627,884.830810546875,287.94146728515625,861.7551879882812,280.4071044921875,891.423828125,300.9888000488281,,
876.1697,251.97179,877.87775,249.69319,874.65137,249.69319,879.9654,250.26285,871.8045654296875,249.6931915283203,885.2794189453125,259.5671081542969,866.1109619140625,257.4783935546875,887.3671264648438,269.8207702636719,859.658203125,269.8207702636719,885.2794189453125,278.1756286621094,858.7092895507812,283.3024597167969,878.2573,274.56784,866.3008,273.04877,885.46923828125,288.8090515136719,860.4173583984375,282.5429382324219,890.9730834960938,303.809814453125,845.2344360351562,304.9490966796875
875.1797,249.63043,876.52277,247.89894,873.45276,248.09132,878.6334,249.24565,871.1502685546875,249.0532684326172,882.8546142578125,258.28790283203125,864.8184204101562,258.09552001953125,887.4596557617188,267.9073181152344,858.486572265625,269.4464416503906,884.58154296875,276.9495849609375,865.9696655273438,276.1800231933594,879.9765,277.14197,866.5453,276.7572,886.692138671875,290.224365234375,860.4053344726562,284.8374938964844,891.489013671875,304.46112060546875,854.6490478515625,296.76556396484375
