nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
,,743.4632568359375,616.30810546875,752.299560546875,603.7352905273438,773.3927001953125,607.449951171875,787.0747,607.7357,756.005126953125,637.7391357421875,789.0700073242188,623.4517822265625,754.8649291992188,660.3130493164062,,,763.4161987304688,682.601318359375,,,773.1076049804688,678.600830078125,795.3409423828125,678.3151245117188,789.3550415039062,741.7508544921875,786.7896728515625,745.1797485351562,784.7943725585938,796.89990234375,773.3927001953125,796.89990234375
758.9953002929688,603.1768188476562,755.5240478515625,600.7685546875,753.921875,603.7119750976562,746.9793090820312,617.358642578125,758.1942,608.52844,751.5186767578125,642.24365234375,776.351806640625,610.4014892578125,763.2677001953125,675.4237060546875,795.577392578125,582.0379028320312,,,,,773.41455078125,682.916015625,795.3103637695312,676.4940185546875,784.896484375,721.7152709960938,791.5720825195312,737.2349853515625,,,784.095458984375,778.4425048828125
,,,,746.7140502929688,612.6139526367188,748.0748901367188,616.1593017578125,758.96204,605.79596,753.5184326171875,640.15869140625,781.8248901367188,609.8867797851562,765.2221069335938,672.0669555664062,800.060791015625,585.3419799804688,759.50634765625,658.430908203125,,,776.1091918945312,678.6122436523438,798.155517578125,672.0669555664062,788.9014892578125,723.8837890625,796.2503051757812,731.7926635742188,,,788.9014892578125,778.9732666015625
,,,,,,751.1513061523438,616.4472045898438,765.3054,608.2136,755.5261840820312,636.5165405273438,783.3197021484375,616.4472045898438,766.5921020507812,669.7081298828125,795.67236328125,632.1424560546875,760.415771484375,654.7847900390625,,,778.6874389648438,675.1114501953125,802.3633422851562,670.2227172851562,791.2974243164062,745.8687133789062,798.503173828125,745.3541259765625,790.78271484375,785.7501220703125,795.1576538085938,786.2647705078125
,,,,,,755.558349609375,617.7340087890625,770.5199,611.11304,758.9921264648438,634.6542358398438,789.8963012695312,625.8262939453125,767.57666015625,668.0042724609375,,,771.7462158203125,646.915283203125,,,784.9908447265625,676.5869750976562,809.272705078125,672.6634521484375,790.632080078125,736.1755981445312,811.970703125,736.4208374023438,790.3868408203125,792.5763549804688,810.9896240234375,785.710205078125
,,,,,,755.5125732421875,617.8886108398438,769.9554,612.3506,757.9197387695312,638.8367919921875,789.9345703125,624.871337890625,769.2332763671875,667.2491455078125,,,763.2153930664062,654.2468872070312,,,785.1203002929688,676.8804931640625,810.1544799804688,673.509521484375,790.65673828125,737.0762939453125,811.3580322265625,738.2801513671875,789.9345703125,791.7340698242188,810.1544799804688,785.9552612304688
,,,,,,759.6659545898438,621.3324584960938,774.2467,616.6235,762.7232055664062,641.1101684570312,793.5308837890625,633.34033203125,770.4839477539062,674.072998046875,,,772.6004638671875,699.9723510742188,,,787.88671875,684.197265625,813.285400390625,681.136474609375,791.8846435546875,741.6467895507812,816.1074829101562,722.8109130859375,791.414306640625,797.2127075195312,818.2240600585938,769.1942749023438
,,,,,,764.4259033203125,625.3494873046875,779.8777,621.422,764.8871459960938,646.6040649414062,796.4826049804688,639.6732177734375,766.040283203125,679.64111328125,814.2406005859375,665.0863037109375,764.4259033203125,711.7540283203125,,,790.4863891601562,690.9614868164062,814.4712524414062,686.802978515625,793.715087890625,746.6392822265625,819.5449829101562,733.0086059570312,792.1007690429688,800.4688720703125,823.6961669921875,772.514404296875
,,,,791.1137084960938,627.9366455078125,774.5515747070312,631.3443603515625,790.88684,628.61816,768.6527099609375,656.107177734375,806.5414428710938,648.1558227539062,767.7451782226562,684.050537109375,819.019775390625,673.3729858398438,769.787109375,698.5902099609375,,,792.9287109375,698.8173828125,817.8853759765625,695.40966796875,794.0631103515625,751.5235595703125,823.1035766601562,726.7607421875,792.021240234375,798.7774658203125,828.0949096679688,759.4749755859375
,,,,796.9656982421875,624.41650390625,781.9937133789062,627.8234252929688,796.512,624.8708,775.6419677734375,652.3529052734375,812.16455078125,645.31201171875,765.66064453125,663.9362182617188,826.682861328125,673.9297485351562,774.0540771484375,692.7810668945312,828.7244873046875,750.0164794921875,794.4703979492188,700.5032958984375,819.4237060546875,696.18798828125,795.8314819335938,750.4707641601562,829.1781616210938,725.2598876953125,792.6556396484375,796.80419921875,827.8170776367188,754.3319091796875
,,,,,,782.3057861328125,629.0070190429688,796.67017,626.0443,775.921630859375,651.7970581054688,811.946533203125,644.732177734375,764.9774169921875,665.2432250976562,825.8548583984375,672.763916015625,775.0096435546875,693.958740234375,828.8189086914062,749.7943725585938,794.162109375,699.200439453125,819.9266967773438,697.377197265625,795.5301513671875,750.9338989257812,829.958984375,727.4600830078125,792.7940673828125,795.6024169921875,828.5909423828125,754.8081665039062
794.5379028320312,625.3989868164062,798.6336669921875,621.294921875,790.669677734375,621.52294921875,788.166748046875,623.3469848632812,803.6396,620.8389,781.3404541015625,645.2353515625,820.9328002929688,642.499267578125,768.5980834960938,658.6875610351562,829.8069458007812,668.49169921875,779.5201416015625,682.1719360351562,830.7171630859375,686.9600219726562,795.4481201171875,694.2561645507812,821.8429565429688,691.97607421875,795.9031982421875,744.18896484375,833.6751708984375,720.9326171875,792.0349731445312,790.9297485351562,826.8489379882812,764.7093505859375
807.6826171875,612.2357788085938,810.3926391601562,609.0745849609375,804.2950439453125,609.0745849609375,801.13330078125,608.6229858398438,815.81274,608.1714,793.0031127929688,627.81591796875,829.814697265625,627.1385498046875,780.58203125,650.6217041015625,845.1717529296875,661.2343139648438,790.2930297851562,671.8468627929688,833.2022705078125,671.8468627929688,800.4557495117188,682.9110717773438,827.3305053710938,682.9110717773438,802.7141723632812,717.0068359375,832.2989501953125,718.3616333007812,795.261474609375,762.392578125,821.0070190429688,766.4569702148438
813.6483764648438,603.194091796875,815.8904418945312,600.0560302734375,810.06103515625,599.8319091796875,806.4737548828125,602.5216064453125,821.7198,601.62506,797.5054931640625,623.8152465820312,835.62060546875,624.0394287109375,787.640380859375,647.7986450195312,848.400390625,658.7816772460938,794.8150024414062,667.5232543945312,834.947998046875,666.850830078125,802.2138061523438,680.0753173828125,829.5670166015625,680.2994384765625,807.8189697265625,726.6971435546875,828.8944091796875,720.421142578125,799.9717407226562,746.4217529296875,816.1146240234375,765.6981201171875
818.1403198242188,602.5113525390625,820.3707885742188,598.264892578125,814.3485107421875,598.9354248046875,811.225830078125,598.264892578125,826.17,596.4769,801.85791015625,618.603271484375,839.7758178710938,619.2738037109375,793.6051635742188,642.9646606445312,849.5899047851562,654.1395874023438,796.28173828125,663.75,829.7387084960938,660.8445434570312,806.5418701171875,676.7129516601562,831.0770263671875,677.60693359375,811.225830078125,718.730712890625,825.9469604492188,725.212158203125,804.3114013671875,737.5045776367188,815.0176391601562,768.5709228515625
817.2594604492188,602.9254760742188,820.3953857421875,599.3390502929688,813.8995971679688,599.3390502929688,811.2117309570312,598.4424438476562,826.2192,598.21826,802.2520751953125,618.1678466796875,840.3306274414062,620.1851806640625,792.8443603515625,643.2728881835938,849.9622802734375,654.7046508789062,797.5482177734375,663.4465942382812,835.850830078125,661.42919921875,806.5078735351562,677.3440551757812,831.14697265625,677.7923583984375,810.5397338867188,722.622802734375,825.9951782226562,724.6401977539062,804.2679443359375,738.9859619140625,816.1395263671875,765.6600952148438
822.9923095703125,588.0684814453125,825.69921875,584.2333374023438,819.6087036132812,584.4589233398438,816.45068359375,584.6845092773438,832.01526,583.78217,808.3300170898438,607.0184936523438,846.4520263671875,606.7929077148438,797.2769165039062,630.48046875,852.99365234375,640.4066772460938,797.9536743164062,649.2048950195312,850.0612182617188,660.4846801757812,815.5484008789062,664.09423828125,841.0382690429688,667.7037353515625,814.4205322265625,698.8359985351562,830.661865234375,718.0115966796875,811.713623046875,732.67529296875,818.4808349609375,761.7771606445312
824.9273681640625,580.40625,818.341064453125,577.4536743164062,820.8392944335938,576.9993896484375,818.7952880859375,577.6807861328125,834.2391,576.7723,811.7546997070312,600.8470458984375,849.6829223632812,600.1657104492188,799.2633666992188,625.14892578125,857.177734375,631.9625244140625,800.8531494140625,641.2744750976562,853.3167724609375,654.9017333984375,821.06640625,656.7186889648438,846.049072265625,661.9424438476562,817.65966796875,688.2884521484375,834.011962890625,709.41064453125,816.5241088867188,721.6751098632812,824.47314453125,750.065185546875
828.749267578125,574.1749267578125,,,824.642578125,571.4384765625,821.448486328125,571.8945922851562,836.9626,570.9824,813.69140625,595.3818969726562,853.1611328125,592.87353515625,800.9151000976562,622.0617065429688,861.830810546875,625.710205078125,806.8469848632812,638.7080078125,857.9522705078125,645.5490112304688,826.4677734375,650.3377075195312,851.5640869140625,653.9862060546875,821.448486328125,684.7705688476562,835.8218383789062,698.2244873046875,821.6766357421875,736.761962890625,831.2589111328125,734.2535400390625
831.7673950195312,567.56298828125,,,827.4492797851562,565.0640258789062,824.7220458984375,566.8814697265625,840.17633,565.064,818.8130493164062,590.2809448242188,857.6760864257812,588.9178466796875,809.4949951171875,611.1814575195312,865.8577880859375,621.6317138671875,808.13134765625,631.6276245117188,,,831.7673950195312,648.2117309570312,856.7670288085938,651.6194458007812,825.8583984375,680.2440185546875,837.6763916015625,697.964111328125,826.0856323242188,733.6312255859375,834.267333984375,734.7671508789062
