nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
,,512.9407958984375,754.4986572265625,,,499.76531982421875,759.1709594726562,517.05810546875,757.7967529296875,489.6092529296875,784.7311401367188,526.6652221679688,786.1053466796875,501.686767578125,804.2448120117188,532.4295043945312,807.5429077148438,,,531.8805541992188,788.0292358398438,492.3541259765625,842.9973754882812,518.705078125,844.6463623046875,478.62969970703125,872.68017578125,543.6835327148438,879.00146484375,457.7685546875,902.3629150390625,549.996826171875,933.1450805664062
508.2413330078125,753.8325805664062,514.0615844726562,751.8914794921875,,,501.3125,757.7146606445312,518.2188720703125,754.9417114257812,489.3949279785156,782.6710815429688,526.533447265625,783.5029296875,490.5035400390625,804.8545532226562,533.7394409179688,806.240966796875,,,532.0765380859375,786.27587890625,494.6608581542969,840.07080078125,520.158935546875,841.457275390625,478.03167724609375,876.118896484375,545.3798828125,876.396240234375,458.35382080078125,904.9573974609375,552.031494140625,929.3592529296875
,,,,,,504.0693359375,754.8442993164062,521.6273803710938,751.8186645507812,494.74163818359375,779.8741455078125,532.3267822265625,779.8741455078125,495.29034423828125,801.0533447265625,537.539306640625,806.0042724609375,,,537.8136596679688,783.4498901367188,498.58245849609375,837.635498046875,523.8221435546875,835.43505859375,484.5909118652344,872.0172119140625,551.2564697265625,867.891357421875,461.2716979980469,902.8232421875,558.1151123046875,921.52685546875
540.4930419921875,778.70703125,,,,,505.2095947265625,753.5775146484375,523.1270141601562,750.5398559570312,496.11309814453125,779.2593383789062,533.87744140625,779.5355224609375,494.45916748046875,798.5897216796875,539.6661376953125,812.1210327148438,,,538.287841796875,820.1293334960938,498.8695983886719,837.2505493164062,525.3322143554688,836.6983032226562,486.1896057128906,871.7691650390625,553.173095703125,867.626953125,466.6182861328125,899.384033203125,561.442626953125,918.162109375
,,,,,,510.25341796875,755.3953247070312,527.755615234375,754.5487060546875,499.80853271484375,780.2293701171875,536.7890625,781.0759887695312,513.0763549804688,801.3947143554688,543.5640869140625,815.2227172851562,,,544.4110107421875,784.46240234375,503.4783630371094,838.9279174804688,529.1671142578125,837.2346801757812,494.72723388671875,867.7127685546875,555.7027587890625,867.7127685546875,474.402099609375,898.7553100585938,576.592529296875,920.7672729492188
522.84423828125,756.7838134765625,527.6390991210938,752.8294677734375,517.767333984375,753.3944091796875,513.2545166015625,757.6311645507812,531.869873046875,755.6539916992188,505.0750732421875,783.3343505859375,540.0493774414062,784.7466430664062,516.9212036132812,804.518310546875,548.5108642578125,801.4113159179688,539.4852294921875,783.6168212890625,546.8185424804688,827.9618530273438,505.9212341308594,839.8248901367188,531.869873046875,838.695068359375,499.9981689453125,868.635009765625,559.228759765625,871.7420654296875,478.56231689453125,899.9873046875,585.7415771484375,920.0414428710938
,,,,,,519.3897094726562,762.7908325195312,536.9116821289062,762.7908325195312,509.3360900878906,787.5042114257812,544.95458984375,790.95263671875,515.0809936523438,811.6428833007812,550.9867553710938,817.6775512695312,,,549.550537109375,838.3677978515625,509.6233215332031,845.2645874023438,534.6137084960938,845.5519409179688,500.71868896484375,872.5642700195312,563.3383178710938,871.7021484375,478.88800048828125,903.02490234375,590.626708984375,917.1058349609375
564.2788696289062,857.103515625,,,,,526.244384765625,767.8970947265625,543.5327758789062,767.8970947265625,516.159423828125,789.8378295898438,549.583740234375,796.477783203125,513.8543090820312,817.8411254882812,554.4821166992188,830.2550048828125,507.5152587890625,851.0408935546875,559.0923461914062,851.0408935546875,514.1424560546875,847.8652954101562,540.3632202148438,848.7313842773438,502.6168518066406,875.8685913085938,569.17724609375,871.24951171875,476.3961181640625,907.6249389648438,,
,,,,,,535.0983276367188,771.1347045898438,552.1793823242188,769.9755249023438,526.9920654296875,792.2890014648438,553.33740234375,798.9540405273438,527.860595703125,822.4266357421875,532.7822265625,825.324462890625,532.4927368164062,852.85400390625,557.3905639648438,845.899169921875,519.7542724609375,849.0868530273438,544.652099609375,851.9846801757812,507.8843994140625,875.7470703125,581.7093505859375,871.9798583984375,482.1180419921875,904.435791015625,594.1583251953125,919.5045776367188
563.166015625,768.1038818359375,570.1796264648438,818.4219970703125,564.91943359375,819.0071411132812,546.5087280273438,768.3964233398438,563.166015625,768.68896484375,538.91064453125,791.215087890625,563.166015625,797.9437255859375,,,569.5951538085938,835.974853515625,,,,,528.9747314453125,849.724609375,552.9378662109375,850.0171508789062,512.3174438476562,877.8091430664062,591.5126342773438,867.862548828125,,,591.8048706054688,919.93603515625
576.7734375,819.08251953125,580.0134887695312,814.0709838867188,573.5333251953125,814.3657836914062,561.4567260742188,769.8510131835938,576.184326171875,770.1458129882812,556.743896484375,789.6026000976562,573.5333251953125,793.4349975585938,,,,,,,,,541.1326293945312,847.6781005859375,560.5730590820312,849.4468994140625,519.6303100585938,879.5164794921875,600.04296875,864.1868896484375,,,592.3846435546875,916.9559936523438
582.62744140625,828.327880859375,,,586.2110595703125,811.6151733398438,575.7587890625,766.8489990234375,590.0933837890625,766.5505981445312,571.279296875,785.94921875,577.2520141601562,788.038330078125,,,567.9942626953125,816.6886596679688,,,588.0029296875,811.9136352539062,570.9806518554688,849.5172119140625,560.8270263671875,844.145263671875,531.5606689453125,878.764404296875,610.9978637695312,869.5126953125,,,592.482421875,917.8601684570312
604.7717895507812,817.189453125,607.1895141601562,813.257080078125,607.1895141601562,808.11474609375,597.5186767578125,762.7412109375,611.7227172851562,763.043701171875,,,599.6341552734375,782.403076171875,,,586.638916015625,807.812255859375,602.0518798828125,812.95458984375,606.8872680664062,808.11474609375,570.0171508789062,838.9688110351562,579.68798828125,839.2713012695312,549.164306640625,874.6626586914062,623.509033203125,871.6377563476562,514.1074829101562,894.0220336914062,593.58984375,915.4989013671875
620.5036010742188,805.819580078125,,,617.4315185546875,803.055908203125,604.2215576171875,760.6793212890625,618.3531494140625,761.6005859375,599.6134033203125,780.025146484375,607.2936401367188,781.8676147460938,,,595.3125,805.2054443359375,611.5945434570312,810.11865234375,617.1243286132812,808.2762451171875,576.2655639648438,839.9051513671875,587.3250732421875,837.1414184570312,561.5195922851562,869.077392578125,626.9549560546875,873.37646484375,521.8897094726562,890.8798217773438,595.0053100585938,913.2964477539062
,,,,,,,,638.3157958984375,754.814697265625,,,623.861328125,776.2247924804688,,,615.0629272460938,801.4132080078125,631.7169799804688,803.3023071289062,634.2308349609375,800.4686279296875,591.4959106445312,837.936279296875,604.6934204101562,831.3243408203125,585.5255737304688,868.7919921875,636.430419921875,875.089111328125,554.1028442382812,885.1644287109375,596.5235595703125,911.6122436523438
